race,stage_number,classification_type,rank,rider_name,rider_slug,rider_url,bib,team_name,team_slug,team_url,time,gap,points,bonus,source_url
La Vuelta,21,stage,84,F. FISHER - BLACK,finn-fisher-black,https://www.lavuelta.es/en/rider/44/red-bull-bora-hansgrohe/finn-fisher-black,44,RED BULL - BORA - HANSGROHE,,,77h 25' 32'',+ 03h 05' 04'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,85,J. LABROSSE,jordan-labrosse,https://www.lavuelta.es/en/rider/95/decathlon-ag2r-la-mondiale-team/jordan-labrosse,95,DECATHLON AG2R LA MONDIALE TEAM,,,77h 30' 27'',+ 03h 09' 59'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,86,N. PETERS,nans-peters,https://www.lavuelta.es/en/rider/96/decathlon-ag2r-la-mondiale-team/nans-peters,96,DECATHLON AG2R LA MONDIALE TEAM,,,77h 30' 37'',+ 03h 10' 09'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,87,N. DENZ,nico-denz,https://www.lavuelta.es/en/rider/43/red-bull-bora-hansgrohe/nico-denz,43,RED BULL - BORA - HANSGROHE,,,77h 31' 11'',+ 03h 10' 43'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,88,O. AULAR SANABRIA,orluis-alberto-aular-sanabria,https://www.lavuelta.es/en/rider/32/movistar-team/orluis-alberto-aular-sanabria,32,MOVISTAR TEAM,,,77h 31' 30'',+ 03h 11' 02'',-,B : 14'',https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,89,J. WILSLY,gregaard-jonas-wilsly,https://www.lavuelta.es/en/rider/208/lotto/gregaard-jonas-wilsly,208,LOTTO,,,77h 31' 38'',+ 03h 11' 10'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,90,J. OTRUBA,jakub-otruba,https://www.lavuelta.es/en/rider/148/caja-rural-seguros-rga/jakub-otruba,148,CAJA RURAL-SEGUROS RGA,,,77h 32' 54'',+ 03h 12' 26'',-,B : 10'',https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,91,M. APARICIO MUÑOZ,mario-aparicio-munoz,https://www.lavuelta.es/en/rider/211/burgos-burpellet-bh/mario-aparicio-munoz,211,BURGOS-BURPELLET-BH,,,77h 33' 12'',+ 03h 12' 44'',-,B : 2'',https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,92,B. KOERDT,bjoern-koerdt,https://www.lavuelta.es/en/rider/193/team-picnic-postnl/bjoern-koerdt,193,TEAM PICNIC POSTNL,,,77h 34' 17'',+ 03h 13' 49'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,93,J. VAN DER LEE,jardi-christiaan-van-der-lee,https://www.lavuelta.es/en/rider/88/ef-education-easypost/jardi-christiaan-van-der-lee,88,EF EDUCATION - EASYPOST,,,77h 34' 40'',+ 03h 14' 12'',-,B : 6'',https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,94,K. O’BRIEN,kelland-o-brien,https://www.lavuelta.es/en/rider/158/team-jayco-alula/kelland-o-brien,158,TEAM JAYCO ALULA,,,77h 34' 58'',+ 03h 14' 30'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,95,S. PETILLI,simone-petilli,https://www.lavuelta.es/en/rider/186/intermarche-wanty/simone-petilli,186,INTERMARCHÉ - WANTY,,,77h 35' 54'',+ 03h 15' 26'',-,-,https://www.lavuelta.es/en/rankings/stage-21
La Vuelta,21,stage,96,A. SEGAERT,alec-segaert,https://www.lavuelta.es/en/rider/204/lotto/alec-segaert,204,LOTTO,,,77h 36' 43'',+ 03h 16' 15'',-,-,https://www.lavuelta.es/en/rankings/stage-21
