race,stage_number,stage_name,date,status,winner,winner_url,team,team_url,distance_km,race_type,start_city,finish_city,cycling_event_label,cycling_country,cycling_url,rankings_url,stage_page_title,rankings_page_title,stage_start_local,stage_finish_expected_local,stage_first_start_local,stage_last_arrival_local,poll_state,recommended_poll_minutes
La Vuelta,12,Vera > Calar Alto,2026-09-03,scheduled,J. AYUSO,https://www.lavuelta.es/en/rider/2/uae-team-emirates-xrg/juan-ayuso-pesquera,UAE TEAM EMIRATES XRG,,166.5,Mountain,Vera,Calar Alto,La Vuelta 2026 - Stage 12,Spain,https://www.lavuelta.es/en/stage-12,https://www.lavuelta.es/en/rankings/stage-12,Stage 12 - Vera > Calar Alto - La Vuelta 2026,Official classifications of La Vuelta - Stage 12,,,,,unknown,60
La Vuelta,13,Almuñécar > Loja,2026-09-04,scheduled,J. ALMEIDA,https://www.lavuelta.es/en/rider/1/uae-team-emirates-xrg/joao-almeida,UAE TEAM EMIRATES XRG,,193.2,Medium Mountains,Almuñécar,Loja,La Vuelta 2026 - Stage 13,Spain,https://www.lavuelta.es/en/stage-13,https://www.lavuelta.es/en/rankings/stage-13,Stage 13 - Almuñécar > Loja - La Vuelta 2026,Official classifications of La Vuelta - Stage 13,,,,,unknown,60
La Vuelta,14,Jaén > Sierra de La Pandera,2026-09-05,scheduled,M. SOLER,https://www.lavuelta.es/en/rider/7/uae-team-emirates-xrg/marc-soler,UAE TEAM EMIRATES XRG,,152.7,Mountain,Jaén,Sierra de La Pandera,La Vuelta 2026 - Stage 14,Spain,https://www.lavuelta.es/en/stage-14,https://www.lavuelta.es/en/rankings/stage-14,Stage 14 - Jaén > Sierra de La Pandera - La Vuelta 2026,Official classifications of La Vuelta - Stage 14,,,,,unknown,60
La Vuelta,15,Palma del Río > Córdoba,2026-09-06,scheduled,M. PEDERSEN,https://www.lavuelta.es/en/rider/27/lidl-trek/mads-pedersen,LIDL-TREK,,181.2,Medium Mountains,Palma del Río,Córdoba,La Vuelta 2026 - Stage 15,Spain,https://www.lavuelta.es/en/stage-15,https://www.lavuelta.es/en/rankings/stage-15,Stage 15 - Palma del Río > Córdoba - La Vuelta 2026,Official classifications of La Vuelta - Stage 15,,,,,unknown,60
La Vuelta,16,Cortegana > La Rábida. Palos de la Frontera,2026-09-08,scheduled,E. BERNAL,https://www.lavuelta.es/en/rider/62/ineos-grenadiers/egan-bernal-gomez,INEOS GRENADIERS,,186,Hilly,Cortegana,La Rábida. Palos de la Frontera,La Vuelta 2026 - Stage 16,Spain,https://www.lavuelta.es/en/stage-16,https://www.lavuelta.es/en/rankings/stage-16,Stage 16 - Cortegana > La Rábida. Palos de la Frontera - La Vuelta 2026,Official classifications of La Vuelta - Stage 16,,,,,unknown,60
La Vuelta,17,Dos Hermanas > Sevilla,2026-09-09,scheduled,G. PELLIZZARI,https://www.lavuelta.es/en/rider/45/red-bull-bora-hansgrohe/giulio-pellizzari,RED BULL - BORA - HANSGROHE,,189.2,Flat,Dos Hermanas,Sevilla,La Vuelta 2026 - Stage 17,Spain,https://www.lavuelta.es/en/stage-17,https://www.lavuelta.es/en/rankings/stage-17,Stage 17 - Dos Hermanas > Sevilla - La Vuelta 2026,Official classifications of La Vuelta - Stage 17,,,,,unknown,60
La Vuelta,18,El Puerto de Santa María > Jerez de la Frontera,2026-09-10,scheduled,F. GANNA,https://www.lavuelta.es/en/rider/63/ineos-grenadiers/filippo-ganna,INEOS GRENADIERS,,32.5,Individual time-trial,El Puerto de Santa María,Jerez de la Frontera,La Vuelta 2026 - Stage 18,Spain,https://www.lavuelta.es/en/stage-18,https://www.lavuelta.es/en/rankings/stage-18,Stage 18 - El Puerto de Santa María > Jerez de la Frontera - La Vuelta 2026,Official classifications of La Vuelta - Stage 18,,,,,unknown,60
La Vuelta,19,Vélez-Málaga > Peñas Blancas. Estepona,2026-09-11,scheduled,J. PHILIPSEN,https://www.lavuelta.es/en/rider/71/alpecin-deceuninck/jasper-philipsen,ALPECIN-DECEUNINCK,,205.1,Hilly. Uphill arrival,Vélez-Málaga,Peñas Blancas. Estepona,La Vuelta 2026 - Stage 19,Spain,https://www.lavuelta.es/en/stage-19,https://www.lavuelta.es/en/rankings/stage-19,Stage 19 - Vélez-Málaga > Peñas Blancas. Estepona - La Vuelta 2026,Official classifications of La Vuelta - Stage 19,,,,,unknown,60
La Vuelta,20,La Calahorra > Collado del Alguacil,2026-09-12,scheduled,J. VINGEGAARD,https://www.lavuelta.es/en/rider/11/team-visma-lease-a-bike/jonas-vingegaard-hansen,TEAM VISMA | LEASE A BIKE,,187,Mountain,La Calahorra,Collado del Alguacil,La Vuelta 2026 - Stage 20,Spain,https://www.lavuelta.es/en/stage-20,https://www.lavuelta.es/en/rankings/stage-20,Stage 20 - La Calahorra > Collado del Alguacil - La Vuelta 2026,Official classifications of La Vuelta - Stage 20,,,,,unknown,60
La Vuelta,21,Carrefour Granada > Granada,2026-09-13,scheduled,J. VINGEGAARD,https://www.lavuelta.es/en/rider/11/team-visma-lease-a-bike/jonas-vingegaard-hansen,TEAM VISMA | LEASE A BIKE,,99.4,Flat,Carrefour Granada,Granada,La Vuelta 2026 - Stage 21,Spain,https://www.lavuelta.es/en/stage-21,https://www.lavuelta.es/en/rankings/stage-21,Stage 21 - Carrefour Granada > Granada - La Vuelta 2026,Official classifications of La Vuelta - Stage 21,,,,,unknown,60
