race,stage_number,classification_type,rank,rider_name,rider_slug,rider_url,bib,team_name,team_slug,team_url,time,gap,points,bonus,source_url
Tour de France,1,gc,15,L. MARTINEZ,lenny-martinez,https://www.letour.fr/en/rider/71/bahrain-victorious/lenny-martinez,71.0,BAHRAIN VICTORIOUS,bahrain-victorious,https://www.letour.fr/en/team/TBV/bahrain-victorious,00h 22' 37'',+ 00h 00' 50'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,16,M. MATTHEWS,michael-matthews,https://www.letour.fr/en/rider/115/team-jayco-alula/michael-matthews,115.0,TEAM JAYCO ALULA,team-jayco-alula,https://www.letour.fr/en/team/JAY/team-jayco-alula,00h 22' 38'',+ 00h 00' 51'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,17,A. BAUDIN,alex-baudin,https://www.letour.fr/en/rider/43/ef-education-easypost/alex-baudin,43.0,EF EDUCATION - EASYPOST,ef-education-easypost,https://www.letour.fr/en/team/EFE/ef-education-easypost,00h 22' 44'',+ 00h 00' 57'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,18,T. PIDCOCK,tom-pidcock,https://www.letour.fr/en/rider/171/pinarello-q36-5-pro-cycling-team/tom-pidcock,171.0,PINARELLO-Q36.5 PRO CYCLING TEAM,pinarello-q36-5-pro-cycling-team,https://www.letour.fr/en/team/PQT/pinarello-q36-5-pro-cycling-team,00h 22' 44'',+ 00h 00' 57'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,19,I. VAN WILDER,ilan-van-wilder,https://www.letour.fr/en/rider/97/soudal-quick-step/ilan-van-wilder,97.0,SOUDAL QUICK-STEP,soudal-quick-step,https://www.letour.fr/en/team/SOQ/soudal-quick-step,00h 22' 45'',+ 00h 00' 58'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,20,T. JOHANNESSEN,tobias-halland-johannessen,https://www.letour.fr/en/rider/121/uno-x-mobility/tobias-halland-johannessen,121.0,UNO-X MOBILITY,uno-x-mobility,https://www.letour.fr/en/team/UXM/uno-x-mobility,00h 22' 47'',+ 00h 01' 00'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,21,T. ARENSMAN,thymen-arensman,https://www.letour.fr/en/rider/82/netcompany-ineos-cycling-team/thymen-arensman,82.0,NETCOMPANY INEOS CYCLING TEAM,netcompany-ineos-cycling-team,https://www.letour.fr/en/team/NCI/netcompany-ineos-cycling-team,00h 22' 48'',+ 00h 01' 01'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,22,J. JEGAT,jordan-jegat,https://www.letour.fr/en/rider/201/totalenergies/jordan-jegat,201.0,TOTALENERGIES,totalenergies,https://www.letour.fr/en/team/TEN/totalenergies,00h 22' 49'',+ 00h 01' 02'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,23,M. VACEK,mathias-vacek,https://www.letour.fr/en/rider/37/lidl-trek/mathias-vacek,37.0,LIDL-TREK,lidl-trek,https://www.letour.fr/en/team/LTK/lidl-trek,00h 22' 59'',+ 00h 01' 12'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
Tour de France,1,gc,24,A. MOLENAAR,alex-molenaar,https://www.letour.fr/en/rider/224/caja-rural-seguros-rga/alex-molenaar,224.0,CAJA RURAL-SEGUROS RGA,caja-rural-seguros-rga,https://www.letour.fr/en/team/CJR/caja-rural-seguros-rga,00h 22' 59'',+ 00h 01' 12'',-,-,https://www.letour.fr/en/ajax/ranking/1/itg/9b090725bf332e0cb20022c0dbce7051/subtab
